,neighbourhood_group,latitude,longitude,room_type,price,minimum_nights,reviews_per_month,availability_365
17918,Brooklyn,40.69557,-73.94033,Entire home/apt,100,3,0.42,3
6664,Manhattan,40.82243,-73.95447,Private room,50,30,0.23,359
17488,Queens,40.69252,-73.80272,Private room,85,1,1.75,114
24246,Queens,40.71894,-73.78188,Entire home/apt,250,2,4.46,94
20101,Manhattan,40.82365,-73.93786,Entire home/apt,80,10,1.9,95
13229,Brooklyn,40.68518,-73.99247,Entire home/apt,170,1,4.11,164
17299,Brooklyn,40.62415,-73.96029,Entire home/apt,60,2,0.85,224
29860,Queens,40.76621,-73.92274,Private room,100,2,0.0,357
14127,Brooklyn,40.68562,-73.93836,Private room,44,2,4.66,7
14590,Brooklyn,40.71769000000001,-73.96339,Entire home/apt,300,3,1.04,318
4295,Brooklyn,40.66003,-73.98567,Entire home/apt,150,3,1.34,120
25770,Manhattan,40.79834,-73.94337,Entire home/apt,300,2,0.55,180
19478,Brooklyn,40.67852,-73.97308000000002,Private room,75,2,1.24,1
15966,Bronx,40.88455,-73.86587,Shared room,26,1,0.67,312
9248,Brooklyn,40.67984000000001,-73.91150999999998,Private room,80,1,0.42,189
27910,Bronx,40.85539,-73.88769,Private room,69,1,3.0,359
25829,Brooklyn,40.70783,-73.94346,Entire home/apt,180,2,0.38,10
5505,Brooklyn,40.67916,-73.98911,Entire home/apt,450,2,0.17,263
4817,Manhattan,40.77554,-73.95141,Entire home/apt,165,6,0.92,3
29112,Manhattan,40.75597,-73.99457,Entire home/apt,251,3,3.0,258
23127,Brooklyn,40.69126,-73.95285,Entire home/apt,250,14,0.0,364
12518,Brooklyn,40.69257,-73.94657,Entire home/apt,165,3,3.3,247
5246,Manhattan,40.79131,-73.94344,Private room,40,1,1.35,257
21796,Brooklyn,40.69839,-73.98758000000002,Private room,119,1,0.68,365
15585,Manhattan,40.71269,-73.98713000000002,Entire home/apt,150,2,0.58,6
13016,Brooklyn,40.64293,-73.98043,Private room,56,1,2.48,16
1426,Brooklyn,40.67422,-73.98097,Private room,62,2,0.14,158
9725,Brooklyn,40.71411,-73.94402,Entire home/apt,151,2,0.41,188
26104,Bronx,40.8353,-73.85750999999998,Private room,75,3,0.0,81
29353,Brooklyn,40.66242,-73.92833,Private room,70,1,0.0,325
1858,Brooklyn,40.6824,-73.95039,Private room,55,1,1.77,318
25194,Queens,40.74326,-73.88911999999998,Private room,45,2,5.05,32
3410,Brooklyn,40.62401,-73.95775,Private room,49,2,0.54,362
11239,Queens,40.66654000000001,-73.81219,Private room,55,10,0.09,300
2098,Manhattan,40.72317,-73.9929,Entire home/apt,175,3,1.49,274
2119,Brooklyn,40.64919,-73.96143000000002,Private room,84,2,0.96,362
16110,Brooklyn,40.70743,-73.9416,Entire home/apt,154,3,0.35,80
1629,Brooklyn,40.68854,-73.95742,Entire home/apt,150,2,0.23,23
8484,Manhattan,40.8002,-73.96727,Private room,299,1,0.08,345
7428,Manhattan,40.74544,-73.9748,Entire home/apt,83,30,0.09,311
14781,Brooklyn,40.68831,-73.99159,Entire home/apt,200,2,1.0,1
6571,Manhattan,40.75925,-73.99136,Private room,120,5,2.83,177
22230,Brooklyn,40.69262,-73.91198,Private room,35,30,0.66,269
8548,Queens,40.69628,-73.85255,Private room,45,1,3.77,287
17460,Brooklyn,40.68853,-73.90613,Private room,40,3,4.14,8
23675,Queens,40.77783,-73.90661999999998,Private room,80,1,1.29,358
22573,Brooklyn,40.69629000000001,-73.97397,Private room,48,30,0.48,58
17959,Brooklyn,40.66236,-73.99037,Private room,55,2,3.35,340
9578,Brooklyn,40.69402,-73.94529,Private room,50,3,1.91,291
1305,Brooklyn,40.68537,-73.97713,Private room,40,8,0.4,284
735,Brooklyn,40.70712,-73.94013000000002,Private room,65,4,0.34,139
16121,Manhattan,40.70852,-74.0062,Entire home/apt,187,29,0.71,332
27741,Queens,40.74305,-73.9007,Entire home/apt,169,2,0.0,91
6647,Manhattan,40.72797,-74.0019,Entire home/apt,350,4,1.06,283
2165,Brooklyn,40.70617,-73.93760999999998,Shared room,40,1,0.48,75
29207,Manhattan,40.83571,-73.94179,Entire home/apt,750,1,1.0,364
16798,Queens,40.76921,-73.87132,Private room,49,1,8.95,278
26534,Brooklyn,40.67797,-73.91818,Entire home/apt,150,3,1.2,14
11534,Brooklyn,40.67156,-73.98366,Entire home/apt,100,4,0.46,37
6241,Manhattan,40.76302,-73.98833,Entire home/apt,500,3,1.23,46
550,Brooklyn,40.73652,-73.95236,Entire home/apt,199,3,0.47,60
8049,Queens,40.76107,-73.86664,Entire home/apt,175,2,2.42,141
18285,Manhattan,40.76339,-73.98866,Private room,150,1,2.59,66
14048,Queens,40.70262,-73.81579,Private room,165,1,0.0,355
23812,Manhattan,40.75173,-73.99869,Entire home/apt,100,3,2.77,24
23917,Queens,40.74554000000001,-73.89831,Private room,120,2,0.0,363
254,Manhattan,40.82976,-73.94866999999998,Private room,85,30,0.68,318
5680,Manhattan,40.79203,-73.96967,Entire home/apt,110,7,0.19,19
8136,Brooklyn,40.67983,-73.96931,Entire home/apt,200,1,1.13,232
20119,Brooklyn,40.57795,-73.9616,Private room,50,2,3.18,71
3795,Brooklyn,40.68312,-73.92506999999998,Entire home/apt,199,3,1.78,269
6029,Brooklyn,40.67112,-73.91685,Private room,39,1,1.57,33
22542,Queens,40.75549,-73.87731,Private room,100,1,0.46,179
17091,Manhattan,40.75439,-73.97339000000002,Entire home/apt,175,30,0.91,22
30262,Manhattan,40.74218,-73.99813,Entire home/apt,150,5,0.0,4
18312,Manhattan,40.73968,-73.99746,Private room,150,2,3.54,316
25571,Manhattan,40.78134,-73.95212,Entire home/apt,289,5,4.89,146
27991,Queens,40.75837,-73.82529,Entire home/apt,90,1,3.0,104
15487,Brooklyn,40.67674,-73.99769,Entire home/apt,149,3,2.38,138
11946,Manhattan,40.76446,-73.99343,Entire home/apt,125,30,0.17,344
12425,Brooklyn,40.72812,-73.95619,Entire home/apt,225,5,0.29,4
29909,Manhattan,40.7469,-73.99038,Entire home/apt,350,3,3.0,345
7894,Manhattan,40.74205,-73.97828,Entire home/apt,159,30,0.18,281
24681,Brooklyn,40.68133,-73.99944,Private room,80,2,5.5,154
20137,Manhattan,40.744,-73.99721,Private room,65,3,1.43,30
22217,Queens,40.76389,-73.82349,Shared room,49,1,0.94,90
2794,Brooklyn,40.69587,-73.9096,Entire home/apt,108,3,3.62,89
25386,Brooklyn,40.68211,-73.92695,Private room,90,5,0.76,71
9667,Manhattan,40.80466,-73.95581999999997,Entire home/apt,399,3,0.03,364
8690,Manhattan,40.81558,-73.95846999999998,Private room,73,6,0.31,90
7788,Brooklyn,40.69619,-73.96944,Private room,175,1,1.51,179
25864,Brooklyn,40.67965,-73.91168,Private room,55,1,5.92,15
21730,Bronx,40.87821,-73.86354,Entire home/apt,85,30,0.0,365
19142,Manhattan,40.76043,-73.97075,Private room,150,3,0.31,127
5950,Queens,40.75547,-73.91866999999998,Private room,37,15,0.26,361
687,Brooklyn,40.69213,-73.95100000000002,Entire home/apt,135,2,0.47,293
5458,Brooklyn,40.71067,-73.95419,Private room,109,2,2.54,14
4100,Brooklyn,40.68547,-73.96885999999998,Entire home/apt,180,4,0.39,208
2243,Queens,40.76549,-73.92934,Private room,100,3,0.07,364
17800,Brooklyn,40.68885,-73.91487,Private room,60,2,0.74,356
14462,Manhattan,40.81702,-73.93881999999998,Entire home/apt,130,3,0.56,89
12859,Bronx,40.83914,-73.78158,Private room,80,1,1.33,358
11302,Manhattan,40.72105,-73.98371,Entire home/apt,150,3,0.22,90
5280,Brooklyn,40.68542,-73.98916,Entire home/apt,115,4,0.64,18
18111,Manhattan,40.77359000000001,-73.94865,Entire home/apt,189,1,0.25,365
28875,Manhattan,40.80478,-73.96665,Private room,70,30,0.0,225
13315,Brooklyn,40.66543,-73.95439,Entire home/apt,105,2,2.47,18
2522,Manhattan,40.82078,-73.93771,Private room,45,4,0.31,42
16872,Brooklyn,40.69833,-73.97086999999998,Private room,140,2,2.64,157
21133,Brooklyn,40.71719,-73.95756999999998,Entire home/apt,148,2,5.0,34
23685,Manhattan,40.79967,-73.96109,Private room,128,30,0.0,364
23761,Manhattan,40.75483,-73.96991,Entire home/apt,295,4,0.0,270
20548,Queens,40.58409,-73.81665,Entire home/apt,65,2,1.54,73
189,Manhattan,40.81219,-73.94499,Private room,64,1,1.84,245
24218,Brooklyn,40.70084,-73.93033,Private room,80,1,0.0,341
5233,Manhattan,40.7192,-73.99139,Private room,140,1,4.59,187
13933,Manhattan,40.80305,-73.95766,Private room,50,5,0.39,188
27949,Queens,40.76481,-73.87241999999998,Private room,60,1,10.23,89
21656,Manhattan,40.76127,-73.95034,Private room,90,1,6.3,27
6342,Brooklyn,40.70573,-73.92886999999997,Entire home/apt,195,4,1.93,63
25768,Manhattan,40.72241,-73.98554,Entire home/apt,180,5,1.0,32
3466,Manhattan,40.73601,-73.98205,Private room,69,2,2.98,285
19786,Queens,40.74523,-73.94973,Private room,175,4,0.16,39
22931,Brooklyn,40.71198,-73.94807,Private room,125,30,0.0,340
13461,Queens,40.75224,-73.81505,Private room,49,1,3.43,362
495,Brooklyn,40.67964,-73.93946,Entire home/apt,100,7,1.87,321
4811,Brooklyn,40.6863,-73.91378,Private room,69,3,2.48,40
26023,Manhattan,40.83588,-73.93978,Private room,65,2,3.75,180
8965,Manhattan,40.83065,-73.94708,Private room,150,1,0.03,87
23670,Queens,40.7385,-73.79145,Private room,55,1,7.5,28
11048,Queens,40.73576,-73.85434000000002,Entire home/apt,95,2,5.31,106
12180,Brooklyn,40.68603,-73.91438000000002,Private room,36,2,0.37,311
11089,Manhattan,40.74443,-74.00012,Entire home/apt,650,3,1.61,179
2738,Manhattan,40.73618,-74.00256,Entire home/apt,400,5,0.13,35
17057,Manhattan,40.72787,-73.98844,Private room,90,3,0.0,79
293,Brooklyn,40.73813,-73.95394,Private room,179,3,0.14,81
17928,Queens,40.74225,-73.90553,Entire home/apt,145,3,4.5,133
6537,Queens,40.75462,-73.88284,Entire home/apt,144,2,0.3,288
18148,Brooklyn,40.68453,-73.96773,Entire home/apt,120,5,0.19,13
15537,Brooklyn,40.68804,-73.93013,Entire home/apt,150,1,0.82,307
2255,Brooklyn,40.66946,-73.95008,Entire home/apt,185,3,2.09,314
18352,Brooklyn,40.68872,-73.93183,Entire home/apt,130,3,0.09,17
15980,Manhattan,40.76502,-73.98702,Shared room,75,1,3.64,174
21710,Manhattan,40.79939,-73.95218,Private room,85,3,0.0,6
29743,Queens,40.77441,-73.93641,Private room,50,2,1.0,1
25170,Brooklyn,40.682,-73.95681,Entire home/apt,140,2,1.58,4
4030,Brooklyn,40.69213,-73.92371,Private room,80,1,0.34,342
1773,Manhattan,40.7302,-74.00165,Entire home/apt,225,2,1.83,10
10566,Manhattan,40.72954,-73.98303,Private room,85,2,2.36,56
979,Brooklyn,40.67436,-73.94807,Private room,95,1,1.47,359
9282,Manhattan,40.76079,-73.97528,Entire home/apt,650,2,0.42,363
29310,Brooklyn,40.6941,-73.96295,Private room,70,3,0.0,25
10668,Brooklyn,40.64233,-73.94773,Shared room,38,30,0.0,365
12747,Manhattan,40.73598,-74.00505,Entire home/apt,140,30,0.09,267
2229,Manhattan,40.75622,-73.9728,Private room,119,2,0.58,325
25133,Bronx,40.87275,-73.87978000000003,Private room,58,5,0.0,180
11200,Manhattan,40.79584000000001,-73.96242,Entire home/apt,135,30,0.21,200
6723,Brooklyn,40.68275,-73.96705,Entire home/apt,105,14,0.21,285
14686,Brooklyn,40.67913,-73.97476999999998,Entire home/apt,199,2,2.34,302
8794,Brooklyn,40.67921,-73.99226,Entire home/apt,185,3,2.58,77
26878,Manhattan,40.7575,-73.98728,Private room,100,1,0.0,300
22138,Queens,40.76677,-73.92408,Private room,57,30,0.0,238
2824,Brooklyn,40.72002,-73.9578,Entire home/apt,90,14,0.14,310
18143,Brooklyn,40.68904000000001,-73.92036999999998,Private room,68,3,1.4,139
29277,Brooklyn,40.67615,-73.93046,Private room,50,1,5.0,361
23116,Queens,40.66715,-73.78345999999998,Shared room,39,1,10.6,320
29972,Queens,40.7479,-73.87496,Private room,115,1,0.0,170
5104,Manhattan,40.84543,-73.94283,Private room,58,1,3.58,280
14636,Bronx,40.86706,-73.84674,Private room,40,2,1.23,17
2754,Manhattan,40.7851,-73.97397,Entire home/apt,195,30,0.73,327
10918,Bronx,40.86925,-73.89534,Private room,60,3,3.43,83
25400,Manhattan,40.72029000000001,-74.00033,Private room,67,30,0.0,50
21465,Manhattan,40.80909000000001,-73.93726,Private room,200,30,0.0,358
1703,Brooklyn,40.66698,-73.98161999999998,Entire home/apt,550,3,0.3,1
19771,Queens,40.73998,-73.92143,Private room,38,30,0.3,201
10609,Manhattan,40.78983,-73.94419,Private room,65,1,3.32,34
4584,Queens,40.59696,-73.75524,Private room,42,6,0.04,151
30508,Brooklyn,40.70266,-73.94284,Entire home/apt,99,3,0.0,14
20305,Brooklyn,40.69272,-73.92067,Private room,155,1,0.11,365
16517,Brooklyn,40.66623,-73.99266999999998,Private room,60,2,3.3,74
10769,Queens,40.6887,-73.82571999999998,Entire home/apt,225,1,2.34,329
23477,Brooklyn,40.65952,-73.95526,Private room,50,1,0.0,305
5547,Brooklyn,40.69294,-73.94666,Private room,63,1,0.07,306
30317,Queens,40.69203,-73.83012,Entire home/apt,185,3,0.0,32
22515,Manhattan,40.78013,-73.96030999999998,Entire home/apt,590,14,0.0,358
3260,Manhattan,40.73005,-73.98525,Entire home/apt,122,30,0.12,339
17947,Brooklyn,40.71648,-73.94452,Entire home/apt,110,1,4.36,44
20140,Brooklyn,40.69476,-73.94821,Private room,82,6,0.88,48
23511,Queens,40.69472,-73.89663,Private room,50,2,3.6,127
12156,Queens,40.7547,-73.81238,Private room,66,2,2.27,63
1919,Manhattan,40.76934,-73.9863,Entire home/apt,125,30,0.04,282
10779,Brooklyn,40.61336,-73.9857,Private room,35,3,0.38,79
1205,Queens,40.74975,-73.93688,Private room,55,7,0.48,46
16228,Bronx,40.80863,-73.92121,Private room,50,1,2.14,75
14427,Manhattan,40.83139,-73.94672,Private room,47,2,3.38,49
16489,Brooklyn,40.66244,-73.88904000000002,Private room,45,3,1.05,365
20422,Manhattan,40.73031,-73.98018,Entire home/apt,145,3,0.91,4
16669,Brooklyn,40.71598,-73.95466,Entire home/apt,134,1,3.59,262
11732,Queens,40.69104,-73.82204,Private room,50,1,4.02,354
23929,Manhattan,40.70638,-74.01086,Entire home/apt,218,2,1.04,279
28362,Manhattan,40.79798,-73.93972,Entire home/apt,50,1,0.0,16
10810,Manhattan,40.79656,-73.94818000000002,Private room,85,1,4.96,46
4494,Manhattan,40.72042,-73.97998,Private room,85,10,0.27,18
14085,Queens,40.7478,-73.88005,Private room,100,1,3.47,165
26134,Manhattan,40.82361,-73.94599000000002,Private room,59,25,1.17,24
25786,Brooklyn,40.71704,-73.95799,Private room,89,1,1.0,44
10916,Bronx,40.87035,-73.89335,Private room,79,3,2.88,78
22216,Manhattan,40.75569,-73.99110999999998,Entire home/apt,128,5,0.0,142
166,Manhattan,40.76307,-73.99665,Entire home/apt,275,1,0.38,299
9816,Manhattan,40.80594,-73.9454,Entire home/apt,550,1,0.17,88
545,Brooklyn,40.73794,-73.95254,Entire home/apt,199,3,0.66,60
20917,Queens,40.71639,-73.85799,Private room,60,2,1.45,19
7694,Brooklyn,40.66873,-73.97916,Private room,54,30,0.0,361
27900,Manhattan,40.82204,-73.95566,Private room,60,1,3.24,211
24482,Brooklyn,40.68299,-73.99928,Private room,80,2,3.42,160
19645,Queens,40.73655,-73.87892,Entire home/apt,300,2,3.83,298
30375,Queens,40.74761,-73.8138,Private room,100,1,0.0,177
22535,Bronx,40.81518,-73.82708000000002,Private room,99,1,0.16,318
555,Brooklyn,40.73714,-73.95296,Private room,299,3,0.1,60
17790,Manhattan,40.7989,-73.96042,Private room,150,1,0.0,365
12453,Manhattan,40.76892,-73.96906,Private room,115,1,3.03,325
16725,Manhattan,40.85197,-73.93308,Private room,59,2,1.06,98
12722,Brooklyn,40.686,-73.94133000000002,Private room,50,1,0.52,39
25001,Brooklyn,40.70312,-73.94464,Private room,75,4,1.98,55
12354,Brooklyn,40.67977,-73.89022,Private room,39,3,1.2,344
8209,Brooklyn,40.71559,-73.96385,Entire home/apt,220,4,1.11,318
4445,Queens,40.74513,-73.91685,Entire home/apt,90,30,0.28,332
28530,Manhattan,40.71678,-73.99492,Entire home/apt,400,4,2.73,57
4645,Manhattan,40.80843,-73.93722,Private room,80,1,2.69,211
19318,Brooklyn,40.69371,-73.94449,Private room,53,4,6.5,1
27602,Brooklyn,40.66197,-73.95952,Private room,42,2,9.47,53
19495,Manhattan,40.7483,-73.9736,Private room,105,1,4.24,176
12516,Brooklyn,40.67398,-73.92787,Entire home/apt,124,2,2.67,308
14984,Queens,40.68411,-73.79688,Shared room,19,1,1.4,138
24364,Manhattan,40.70778,-74.01074,Entire home/apt,205,2,2.64,327
13287,Manhattan,40.73325,-73.99971,Entire home/apt,350,2,1.52,10
1565,Queens,40.75751,-73.91678,Entire home/apt,85,2,3.44,254
11379,Brooklyn,40.66929,-73.98706999999997,Entire home/apt,163,5,0.43,192
10989,Manhattan,40.71203,-73.99008,Private room,99,1,4.31,119
2154,Brooklyn,40.67179,-73.97248,Entire home/apt,140,2,1.64,31
22719,Manhattan,40.72288,-73.98344,Entire home/apt,350,3,0.38,342
26809,Queens,40.75312,-73.8812,Entire home/apt,120,7,0.0,58
17674,Brooklyn,40.68792,-73.97671,Private room,230,4,0.24,114
9544,Brooklyn,40.65651,-73.95322,Entire home/apt,400,14,0.06,90
24466,Queens,40.70899,-73.89494,Private room,42,30,0.86,225
9799,Manhattan,40.77341,-73.95025,Entire home/apt,375,1,0.51,110
991,Brooklyn,40.73252,-73.95496,Private room,150,2,0.59,72
14038,Queens,40.70258,-73.8151,Private room,135,1,0.0,365
15906,Brooklyn,40.68235,-73.96128,Entire home/apt,200,30,0.41,266
497,Manhattan,40.72645,-73.98035,Private room,89,1,2.95,192
8377,Brooklyn,40.68662,-73.98305,Entire home/apt,300,30,0.0,36
30086,Brooklyn,40.69987,-73.92203,Entire home/apt,135,1,0.0,331
18201,Bronx,40.81518,-73.84758000000002,Entire home/apt,62,3,2.79,42
16394,Queens,40.76387,-73.90995,Private room,79,1,5.03,171
29700,Brooklyn,40.72229,-73.94846,Entire home/apt,128,30,0.0,312
29974,Queens,40.71572000000001,-73.78204000000002,Entire home/apt,280,1,0.0,330
23916,Manhattan,40.70595,-74.0118,Entire home/apt,244,2,1.82,317
12924,Brooklyn,40.71312,-73.9617,Entire home/apt,175,3,1.28,24
26695,Manhattan,40.75568,-73.96675,Entire home/apt,240,4,1.0,19
314,Brooklyn,40.73861,-73.95485,Private room,599,3,0.09,60
3783,Brooklyn,40.6805,-73.93775,Entire home/apt,115,3,2.27,241
6001,Manhattan,40.75383,-73.99535999999998,Entire home/apt,190,30,0.09,9
14580,Manhattan,40.77562,-73.98756,Entire home/apt,1066,1,0.2,365
28175,Manhattan,40.822,-73.95581999999997,Private room,59,1,1.0,61
22095,Manhattan,40.82375,-73.94381,Private room,100,1,0.99,56
7617,Manhattan,40.72005,-73.98911,Entire home/apt,129,4,2.07,26
13263,Brooklyn,40.63488,-73.89015,Private room,75,2,1.95,259
13833,Queens,40.69474,-73.82284,Entire home/apt,85,2,1.62,179
2647,Bronx,40.86467,-73.90125,Private room,75,2,0.2,365
6672,Brooklyn,40.71218,-73.95766,Entire home/apt,245,3,0.46,128
18706,Brooklyn,40.60557,-73.99799,Entire home/apt,123,2,2.57,128
2452,Manhattan,40.81381,-73.94166,Entire home/apt,250,30,0.3,318
8839,Brooklyn,40.6788,-73.99559,Entire home/apt,525,4,0.14,327
5257,Queens,40.75394,-73.80538,Private room,45,2,3.74,170
27995,Brooklyn,40.72027,-73.9588,Entire home/apt,200,3,3.57,163
11050,Manhattan,40.80926,-73.94979000000002,Private room,75,3,1.64,9
26604,Manhattan,40.76106,-73.98647,Entire home/apt,699,29,0.0,333
18060,Manhattan,40.78352,-73.95275,Private room,120,2,4.76,351
24539,Brooklyn,40.66863,-73.92169,Private room,44,9,1.29,12
8982,Manhattan,40.76026,-73.96204,Entire home/apt,152,30,0.05,332
29260,Queens,40.68474000000001,-73.79196999999998,Entire home/apt,79,1,0.0,167
25816,Brooklyn,40.69054000000001,-73.92793,Private room,36,30,0.0,58
29661,Manhattan,40.74864,-73.971,Entire home/apt,346,1,0.0,364
8037,Brooklyn,40.69221,-73.93823,Private room,50,20,0.56,2
17072,Brooklyn,40.71886,-73.94054,Entire home/apt,140,2,1.52,216
7754,Brooklyn,40.6703,-73.94209000000002,Private room,109,2,2.87,352
15075,Manhattan,40.74404000000001,-73.97887,Entire home/apt,100,30,0.45,271
8038,Manhattan,40.75369,-73.96632,Entire home/apt,218,5,2.1,185
13446,Manhattan,40.74419,-73.99913000000002,Entire home/apt,225,1,4.55,33
16529,Brooklyn,40.71514000000001,-73.9641,Entire home/apt,140,2,4.06,180
16833,Queens,40.75755,-73.92854,Private room,49,3,0.65,18
18588,Brooklyn,40.70382,-73.91456,Entire home/apt,250,2,2.37,260
30613,Manhattan,40.7362,-74.00827,Entire home/apt,205,1,0.0,365
19396,Brooklyn,40.68804,-73.94591,Private room,40,1,1.84,310
19270,Brooklyn,40.64184,-73.9642,Private room,68,2,3.96,47
7924,Brooklyn,40.69324,-73.94655999999998,Private room,45,4,0.91,89
12064,Brooklyn,40.70286,-73.91884,Entire home/apt,180,29,1.19,147
12853,Manhattan,40.72826,-73.98156,Entire home/apt,110,30,1.72,244
20499,Brooklyn,40.7027,-73.91429000000002,Private room,70,5,0.21,53
14553,Queens,40.75899,-73.82245,Entire home/apt,90,30,0.3,281
24572,Manhattan,40.77032,-73.95498,Entire home/apt,145,7,3.17,34
684,Brooklyn,40.67339000000001,-73.96519,Private room,100,2,0.86,90
865,Manhattan,40.75636,-73.9939,Entire home/apt,80,30,0.37,365
14649,Queens,40.74496,-73.89534,Entire home/apt,99,1,6.0,320
18993,Queens,40.75375,-73.90037,Private room,57,2,1.94,125
18308,Brooklyn,40.6442,-73.93266,Private room,45,3,3.01,30
1213,Manhattan,40.80529,-73.96467,Entire home/apt,125,2,0.09,358
10052,Brooklyn,40.68134000000001,-73.92226,Entire home/apt,120,3,3.6,232
28565,Brooklyn,40.71511,-73.96236,Entire home/apt,500,3,2.0,332
5941,Manhattan,40.76511,-73.96555,Entire home/apt,155,30,0.2,316
17239,Queens,40.73123,-73.86655999999998,Private room,70,2,1.96,180
21386,Queens,40.76068,-73.82233000000002,Private room,66,2,2.73,312
27681,Queens,40.7655,-73.88217,Entire home/apt,80,1,5.45,49
2611,Manhattan,40.77608,-73.97614,Entire home/apt,340,6,0.41,365
29148,Brooklyn,40.69386,-73.93256,Private room,52,4,1.0,325
23900,Manhattan,40.70764000000001,-74.01077,Entire home/apt,252,2,3.19,260
29064,Queens,40.74509000000001,-73.88492,Entire home/apt,120,1,1.0,331
7845,Brooklyn,40.67409,-73.92607,Private room,60,2,3.32,39
10412,Manhattan,40.81588,-73.93984,Entire home/apt,400,2,0.1,180
2090,Manhattan,40.78357000000001,-73.97268000000003,Entire home/apt,121,7,1.11,151
28651,Brooklyn,40.69774,-73.97502,Private room,48,30,0.0,341
15934,Brooklyn,40.71384000000001,-73.94228000000003,Private room,55,15,0.0,1
13234,Brooklyn,40.67467,-73.87379,Private room,119,1,1.28,180
15626,Bronx,40.86578,-73.86534,Entire home/apt,250,2,1.44,361
14396,Manhattan,40.73014000000001,-73.98151999999997,Entire home/apt,180,3,0.42,10
18427,Bronx,40.8859,-73.83516999999998,Entire home/apt,95,3,0.66,311
19688,Manhattan,40.71624,-73.99995,Private room,100,2,4.32,6
30604,Manhattan,40.82258,-73.95464,Private room,60,1,0.0,80
14310,Brooklyn,40.67794,-73.90639,Private room,48,1,5.65,235
24775,Brooklyn,40.7262,-73.95076999999998,Entire home/apt,120,5,0.0,160
24687,Manhattan,40.76174,-73.96625,Private room,90,3,0.25,8
21396,Brooklyn,40.66988,-73.94682,Private room,60,20,0.14,64
26319,Brooklyn,40.70944,-73.96472,Private room,58,30,0.0,342
7199,Brooklyn,40.69363,-73.94805,Private room,70,3,0.81,365
5492,Brooklyn,40.67995,-73.90921999999998,Entire home/apt,97,2,2.75,292
29276,Brooklyn,40.67442,-73.92949,Private room,50,1,4.0,364
5942,Queens,40.74674,-73.91881,Entire home/apt,250,3,0.0,364
16953,Queens,40.68834,-73.82624,Entire home/apt,89,3,2.52,313
16091,Manhattan,40.80096,-73.9542,Private room,65,6,0.75,8
24023,Brooklyn,40.67302,-73.92134,Shared room,25,2,0.21,29
6965,Brooklyn,40.72722,-73.95246999999998,Private room,100,2,2.75,284
4702,Manhattan,40.71286,-73.98849,Shared room,80,2,0.24,89
25798,Manhattan,40.7613,-73.96152,Entire home/apt,220,1,0.0,32
28921,Brooklyn,40.70823,-73.95702,Entire home/apt,168,2,4.0,154
8978,Brooklyn,40.66172,-73.8975,Private room,57,5,0.64,60
17068,Brooklyn,40.6811,-73.94541,Entire home/apt,65,30,0.21,269
518,Manhattan,40.73685,-73.98359,Entire home/apt,399,1,0.0,12
30289,Queens,40.74583,-73.92268,Entire home/apt,74,15,0.0,22
11024,Manhattan,40.7265,-73.98278,Private room,71,3,2.59,25
22328,Manhattan,40.85962,-73.92971,Private room,65,1,3.89,86
6145,Manhattan,40.72948,-73.98855999999998,Entire home/apt,149,5,2.84,12
22226,Brooklyn,40.68709000000001,-73.95801,Private room,45,15,0.47,199
15592,Manhattan,40.7773,-73.95652,Entire home/apt,225,2,0.71,363
3250,Brooklyn,40.71082,-73.95186,Entire home/apt,250,1,0.12,170
