,neighbourhood_group,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,reviews_per_month,calculated_host_listings_count,availability_365
40484,Manhattan,40.739340000000006,-74.00146,Entire home/apt,180,3,2,2.0,1,173
22542,Queens,40.76417,-73.83008000000001,Private room,45,1,94,3.48,2,62
34211,Queens,40.75817,-73.89893000000001,Entire home/apt,85,1,43,3.72,1,0
27253,Brooklyn,40.73279,-73.95425999999999,Entire home/apt,110,6,5,0.24,1,0
38151,Manhattan,40.80324,-73.94887,Entire home/apt,125,2,12,3.05,1,7
41172,Manhattan,40.75741,-73.96372,Entire home/apt,120,2,8,1.89,1,328
25441,Manhattan,40.81698,-73.93968000000001,Private room,70,1,9,0.39,1,89
38204,Brooklyn,40.69205,-73.96646,Entire home/apt,150,2,41,5.42,1,60
38228,Brooklyn,40.70159,-73.9801,Private room,50,6,1,0.15,1,0
1783,Brooklyn,40.68015,-73.97800000000001,Private room,115,2,25,0.36,6,89
21054,Brooklyn,40.66825,-73.98432,Private room,46,3,4,0.27,1,72
11034,Brooklyn,40.6394,-73.95136,Entire home/apt,77,2,136,3.0,2,265
8555,Queens,40.58977,-73.79498000000001,Private room,149,1,56,1.14,5,361
17598,Manhattan,40.80742,-73.95214,Private room,123,4,1,0.1,3,0
34683,Brooklyn,40.70548,-73.92671,Private room,59,2,8,0.73,1,0
26513,Queens,40.77063,-73.87543000000001,Private room,45,1,222,10.39,1,164
42078,Manhattan,40.75803,-73.98886999999999,Private room,100,1,6,2.61,9,289
27534,Brooklyn,40.69339,-73.98581,Entire home/apt,90,3,7,0.37,1,0
36308,Queens,40.74258,-73.9031,Private room,55,30,2,0.32,37,1
28337,Brooklyn,40.64066,-73.9664,Private room,45,5,3,0.16,1,0
37319,Brooklyn,40.712579999999996,-73.94306999999999,Entire home/apt,82,1,15,2.02,1,16
21926,Brooklyn,40.57582,-73.98576,Entire home/apt,99,2,68,2.51,6,125
42387,Brooklyn,40.73304,-73.95491,Entire home/apt,50,1,8,2.47,6,0
24657,Manhattan,40.80668,-73.93828,Private room,43,1,86,3.55,10,161
15646,Manhattan,40.80854,-73.94305,Entire home/apt,125,7,1,0.03,1,0
34601,Brooklyn,40.63145,-74.02375,Private room,50,2,1,0.09,1,0
31582,Manhattan,40.77942,-73.94771999999999,Entire home/apt,160,1,16,1.1,1,0
18786,Manhattan,40.72891,-73.98868,Entire home/apt,300,2,22,0.64,1,8
4960,Manhattan,40.73496,-74.00005,Entire home/apt,200,5,64,1.09,1,329
28851,Queens,40.732690000000005,-73.8584,Entire home/apt,81,4,6,0.32,1,6
44125,Manhattan,40.79787,-73.93568,Private room,90,2,3,2.43,2,175
4432,Manhattan,40.73722,-74.00043000000001,Entire home/apt,190,1,11,0.18,1,0
42499,Manhattan,40.766940000000005,-73.98773,Entire home/apt,299,1,13,5.91,4,0
38918,Brooklyn,40.708090000000006,-73.94913000000001,Entire home/apt,160,1,35,4.79,2,269
35506,Brooklyn,40.694520000000004,-73.9082,Entire home/apt,90,5,8,0.81,1,0
18631,Brooklyn,40.58615,-73.94784,Private room,59,1,13,0.38,1,332
8525,Brooklyn,40.62487,-74.02949,Private room,70,30,54,1.17,4,288
7245,Manhattan,40.83299,-73.94527,Private room,150,2,8,0.16,1,364
316,Queens,40.77635,-73.93426,Entire home/apt,115,2,198,2.01,1,257
9545,Brooklyn,40.687940000000005,-73.97393000000001,Entire home/apt,150,3,10,0.21,1,0
35374,Manhattan,40.85053,-73.93027,Private room,70,2,28,2.8,1,123
13826,Brooklyn,40.61465,-73.96065,Private room,65,2,8,0.19,2,321
24873,Brooklyn,40.67677,-73.97954,Private room,97,2,54,2.38,1,85
26529,Queens,40.7726,-73.92298000000001,Entire home/apt,180,4,41,2.22,1,120
26456,Queens,40.755990000000004,-73.93415,Private room,55,1,76,3.56,9,229
41116,Manhattan,40.80393,-73.9574,Private room,60,2,3,0.67,1,188
36500,Brooklyn,40.71441,-73.95229,Entire home/apt,160,2,21,3.28,1,335
19667,Brooklyn,40.66451,-73.99342,Entire home/apt,175,2,6,0.2,1,18
13125,Brooklyn,40.7138,-73.94581,Entire home/apt,74,1,1,0.02,2,27
42223,Manhattan,40.74929,-73.9779,Entire home/apt,300,1,29,7.13,2,247
33046,Brooklyn,40.70139,-73.98351,Entire home/apt,250,4,5,0.49,1,0
25978,Queens,40.65429,-73.73432,Private room,45,30,34,1.52,5,90
31842,Manhattan,40.80672,-73.96713000000001,Private room,125,6,3,0.22,1,34
3029,Brooklyn,40.71284,-73.93965,Private room,99,3,19,0.41,2,310
31380,Brooklyn,40.71434,-73.94275,Entire home/apt,150,2,48,3.27,2,53
17282,Brooklyn,40.685520000000004,-73.9609,Entire home/apt,259,6,4,0.11,1,7
26780,Queens,40.70626,-73.90930999999999,Entire home/apt,135,5,36,1.78,1,325
9791,Manhattan,40.70552,-74.00841,Entire home/apt,190,1,3,0.06,1,0
15162,Brooklyn,40.68823,-73.93366999999999,Entire home/apt,126,2,181,4.73,1,182
19216,Manhattan,40.7531,-73.97321,Private room,252,2,3,0.09,13,324
26167,Brooklyn,40.68332,-73.99084,Entire home/apt,125,5,40,1.84,1,88
700,Manhattan,40.746179999999995,-74.00392,Entire home/apt,195,365,10,0.12,1,0
22394,Brooklyn,40.67358,-73.93502,Private room,57,1,32,1.38,2,95
37664,Brooklyn,40.70774,-73.9445,Private room,100,2,21,2.75,1,6
19825,Manhattan,40.73267,-73.98259,Private room,100,3,1,0.03,1,0
4156,Brooklyn,40.68571,-73.95033000000001,Entire home/apt,65,1,1,0.09,1,98
3492,Brooklyn,40.64717,-73.96189,Private room,69,1,64,0.96,3,362
28462,Brooklyn,40.68748,-73.93048,Private room,65,5,2,0.1,1,0
28534,Manhattan,40.76739,-73.98225,Entire home/apt,189,7,3,0.16,1,0
6838,Queens,40.747409999999995,-73.94712,Private room,95,1,141,2.77,2,331
19790,Queens,40.750820000000004,-73.89447,Entire home/apt,99,2,171,5.3,2,1
25522,Manhattan,40.74418,-73.9999,Entire home/apt,162,3,4,0.18,1,0
12489,Manhattan,40.74899,-73.97301,Private room,119,1,1,0.02,1,0
8018,Brooklyn,40.5777,-73.93988,Private room,45,4,118,2.34,2,269
30778,Brooklyn,40.72156,-73.96043,Entire home/apt,280,6,6,0.39,1,11
33039,Queens,40.74623,-73.94051,Entire home/apt,140,2,7,2.23,1,122
37477,Brooklyn,40.6847,-73.95532,Private room,70,2,23,2.95,3,293
2405,Manhattan,40.73984,-74.00187,Entire home/apt,248,2,9,0.12,1,363
9489,Manhattan,40.77877,-73.94824,Private room,100,1,3,0.06,1,0
35109,Queens,40.6959,-73.84868,Entire home/apt,51,7,3,1.0,1,2
28384,Manhattan,40.78313,-73.97555,Private room,58,3,2,0.1,2,0
19269,Bronx,40.81658,-73.88889,Private room,59,14,13,0.4,4,340
24839,Brooklyn,40.70476,-73.92942,Private room,65,3,15,0.65,2,2
21331,Brooklyn,40.71819,-73.96531999999999,Entire home/apt,99,4,16,0.54,2,86
16111,Manhattan,40.816320000000005,-73.96007,Entire home/apt,120,2,2,0.06,1,0
42944,Queens,40.76699,-73.81636,Private room,75,1,10,3.13,3,89
33290,Manhattan,40.738859999999995,-74.00413,Entire home/apt,200,3,6,0.94,1,0
27104,Brooklyn,40.675059999999995,-73.94828000000001,Entire home/apt,110,3,20,1.0,1,0
31020,Queens,40.75671,-73.83337,Entire home/apt,159,2,39,2.68,7,61
27267,Queens,40.76129,-73.92009,Entire home/apt,123,1,56,2.73,1,126
10966,Manhattan,40.79893,-73.96769,Entire home/apt,150,4,1,0.02,1,0
24692,Brooklyn,40.64712,-73.99646,Private room,48,5,2,0.19,1,214
36976,Brooklyn,40.7348,-73.95543,Entire home/apt,150,6,1,0.13,1,154
4779,Brooklyn,40.64846,-73.97338,Entire home/apt,150,4,26,0.44,1,0
15812,Manhattan,40.77166,-73.95796999999999,Private room,105,14,7,0.19,1,29
32261,Brooklyn,40.67163,-73.88898,Entire home/apt,100,1,51,3.81,1,107
6568,Manhattan,40.74811,-73.97298,Entire home/apt,110,15,26,0.47,1,0
25503,Brooklyn,40.64394,-73.99524,Private room,75,2,25,1.08,1,129
29408,Brooklyn,40.72188,-73.94355,Private room,150,3,8,0.48,1,27
6109,Manhattan,40.755309999999994,-73.99945,Entire home/apt,195,1,136,2.94,1,203
5472,Manhattan,40.71185,-74.01719,Entire home/apt,225,3,2,0.04,1,0
13021,Manhattan,40.761179999999996,-73.98535,Entire home/apt,139,30,1,0.04,121,306
28787,Manhattan,40.81537,-73.94067,Entire home/apt,135,3,21,1.13,2,75
5525,Queens,40.75568,-73.91578,Private room,250,2,22,0.43,1,123
46079,Brooklyn,40.690259999999995,-73.97074,Private room,50,1,4,3.08,1,336
33393,Brooklyn,40.68497,-73.9543,Private room,110,3,38,3.25,1,101
8987,Brooklyn,40.69712,-73.93325,Entire home/apt,155,2,114,2.86,3,250
31634,Manhattan,40.742329999999995,-73.98031,Private room,75,30,3,0.29,26,345
8293,Brooklyn,40.68672,-73.96376,Entire home/apt,145,2,2,0.06,1,0
39265,Manhattan,40.767179999999996,-73.95715,Private room,80,1,3,0.42,5,0
14840,Brooklyn,40.6954,-73.96705,Entire home/apt,200,30,1,0.09,1,9
36606,Manhattan,40.77345,-73.95385999999999,Private room,100,1,76,9.58,2,281
38271,Queens,40.74041,-73.89029000000001,Private room,49,30,3,0.5,103,195
37886,Queens,40.73134,-73.8521,Entire home/apt,175,2,6,0.93,1,168
25789,Queens,40.75777,-73.81172,Private room,54,2,65,2.88,6,361
25407,Brooklyn,40.68161,-73.95237,Private room,120,30,4,0.37,1,0
5648,Queens,40.74947,-73.91471999999999,Entire home/apt,120,10,30,0.52,1,142
3922,Brooklyn,40.665859999999995,-73.95128000000001,Private room,55,4,21,0.34,4,129
40956,Bronx,40.86643,-73.88895,Private room,65,2,7,1.28,3,110
20581,Brooklyn,40.677690000000005,-73.95309,Entire home/apt,100,3,5,0.17,1,8
26076,Manhattan,40.845659999999995,-73.93998,Entire home/apt,75,3,3,0.14,1,0
4655,Brooklyn,40.67303,-73.96424,Private room,57,7,11,0.18,1,0
13278,Brooklyn,40.67665,-73.95534,Entire home/apt,115,3,1,0.03,1,0
35646,Queens,40.776579999999996,-73.90344,Entire home/apt,100,3,12,1.21,1,0
24306,Brooklyn,40.685109999999995,-73.96775,Private room,49,1,2,0.08,1,0
11277,Manhattan,40.77812,-73.98066999999999,Entire home/apt,280,1,1,0.02,1,0
37855,Manhattan,40.80043,-73.95859,Private room,50,2,31,4.84,4,112
33107,Manhattan,40.80724,-73.96677,Entire home/apt,250,7,4,0.37,1,4
4333,Brooklyn,40.677859999999995,-73.99871,Entire home/apt,149,6,2,0.04,1,0
22752,Manhattan,40.8398,-73.94384000000001,Private room,55,21,8,0.52,2,38
4494,Brooklyn,40.7177,-73.94612,Entire home/apt,200,2,2,0.03,1,157
36955,Manhattan,40.81386,-73.95936,Private room,90,1,55,6.4,4,87
41789,Queens,40.6597,-73.76993,Private room,65,1,14,3.23,7,177
31151,Brooklyn,40.68168,-73.87881999999999,Private room,99,2,67,4.59,2,295
41901,Manhattan,40.74862,-73.97531,Entire home/apt,243,2,4,1.35,327,140
17644,Manhattan,40.759809999999995,-73.99118,Private room,150,5,20,0.55,1,178
15323,Manhattan,40.77346,-73.9559,Entire home/apt,250,7,8,0.22,1,294
30761,Manhattan,40.829609999999995,-73.9474,Private room,80,1,11,0.92,6,0
8532,Brooklyn,40.70313,-73.93566,Private room,42,8,1,0.02,1,0
23523,Manhattan,40.72083,-73.99205,Private room,95,6,2,0.08,1,0
36248,Queens,40.74688,-73.8817,Private room,45,7,4,0.46,3,21
9492,Brooklyn,40.67628,-73.96425,Entire home/apt,90,5,1,0.02,1,0
34876,Brooklyn,40.69015,-73.94075,Private room,55,2,24,2.32,2,347
1558,Brooklyn,40.66084,-73.99328,Entire home/apt,100,15,22,0.47,2,5
18540,Brooklyn,40.64293,-74.01786,Private room,58,3,106,3.06,1,3
3759,Manhattan,40.72959,-73.98111999999999,Entire home/apt,112,30,22,0.34,6,244
35833,Queens,40.757259999999995,-73.92811999999999,Private room,44,1,49,5.38,3,52
18864,Manhattan,40.81041,-73.94337,Private room,55,2,114,3.34,1,270
31919,Brooklyn,40.702690000000004,-73.91778000000001,Private room,65,2,20,1.57,3,282
10752,Manhattan,40.808009999999996,-73.9486,Private room,180,3,18,0.39,1,362
8900,Brooklyn,40.68724,-73.98595999999999,Entire home/apt,225,2,24,0.49,1,189
12244,Brooklyn,40.67768,-73.97114,Entire home/apt,175,10,11,0.25,1,0
23067,Manhattan,40.76,-73.98915,Private room,135,3,65,2.92,1,25
45043,Brooklyn,40.692409999999995,-73.95793,Entire home/apt,149,2,3,3.0,1,268
25427,Manhattan,40.7973,-73.9618,Private room,55,3,4,0.17,1,0
21302,Manhattan,40.80934,-73.95071999999999,Private room,59,2,66,2.24,4,6
7494,Manhattan,40.827529999999996,-73.94601999999999,Private room,60,3,18,1.17,2,0
6246,Manhattan,40.72312,-73.98255,Entire home/apt,175,2,81,1.59,1,0
13769,Brooklyn,40.67433,-73.9575,Private room,81,3,120,2.81,1,0
41227,Brooklyn,40.71396,-73.93986,Entire home/apt,179,4,8,2.11,1,104
43149,Manhattan,40.79908,-73.96465,Private room,50,7,2,0.6,1,283
21296,Brooklyn,40.669259999999994,-73.93211,Private room,49,1,13,0.44,2,0
16279,Manhattan,40.73505,-73.98565,Entire home/apt,180,30,1,0.04,96,281
20811,Brooklyn,40.6714,-73.99257,Private room,75,4,7,0.23,1,253
10748,Brooklyn,40.6869,-73.99741,Entire home/apt,225,3,38,0.96,1,135
11406,Brooklyn,40.67853,-73.91141999999999,Private room,54,2,2,0.05,1,0
20561,Manhattan,40.87247,-73.91927,Private room,59,2,11,0.36,1,29
46329,Brooklyn,40.68906,-73.98983,Entire home/apt,329,30,1,1.0,2,63
31219,Manhattan,40.78723,-73.97031,Entire home/apt,153,2,6,0.41,1,0
9918,Manhattan,40.721779999999995,-73.98212,Entire home/apt,250,2,11,0.24,1,0
28513,Manhattan,40.76028,-73.99014,Entire home/apt,179,1,125,6.51,1,201
25160,Manhattan,40.820859999999996,-73.95119,Private room,60,3,1,0.04,1,0
11226,Manhattan,40.7411,-74.00184,Private room,112,5,31,0.68,1,0
41194,Queens,40.68237,-73.84874,Private room,45,1,40,7.79,4,30
12269,Brooklyn,40.69372,-73.94578,Entire home/apt,150,2,59,1.38,1,19
37640,Brooklyn,40.6817,-73.95025,Entire home/apt,70,30,3,0.42,3,281
12955,Brooklyn,40.6682,-73.88541,Entire home/apt,150,30,16,0.37,1,365
26180,Manhattan,40.766709999999996,-73.98849,Entire home/apt,300,15,8,0.37,1,30
37605,Manhattan,40.82431,-73.94291,Entire home/apt,202,3,8,1.1,1,88
45245,Queens,40.74923,-73.94847,Entire home/apt,150,3,2,2.0,7,34
41212,Manhattan,40.84725,-73.94274,Private room,85,2,11,2.21,1,227
9134,Manhattan,40.82416,-73.95306,Private room,75,1,11,0.25,3,332
9525,Manhattan,40.71894,-73.99205,Private room,120,3,86,1.82,3,99
32986,Manhattan,40.77844,-73.94728,Entire home/apt,125,3,8,0.63,1,0
14303,Manhattan,40.73427,-73.98456,Entire home/apt,250,2,4,0.14,1,0
24510,Queens,40.58891,-73.81578,Private room,110,1,34,1.4,2,358
465,Brooklyn,40.72185,-73.93956,Private room,46,4,86,0.89,3,350
16002,Brooklyn,40.68633,-73.93557,Private room,60,7,1,0.03,2,0
28274,Manhattan,40.75835,-73.99065,Private room,120,1,88,4.93,3,0
7865,Manhattan,40.84245,-73.93918000000001,Entire home/apt,140,30,8,0.17,34,312
5526,Manhattan,40.72023,-73.99693,Private room,95,3,135,2.31,1,9
7941,Brooklyn,40.7186,-73.95951,Private room,89,5,6,0.12,2,0
18323,Brooklyn,40.70786,-73.9503,Private room,80,2,166,4.68,1,8
27963,Manhattan,40.71801,-73.9984,Entire home/apt,160,1,22,1.12,2,23
23390,Manhattan,40.80214,-73.95658,Private room,55,2,8,0.31,1,0
10668,Brooklyn,40.69352,-73.94376,Entire home/apt,325,5,9,0.21,1,0
24264,Brooklyn,40.67313,-73.96254,Private room,100,1,8,0.33,1,8
5067,Brooklyn,40.69942,-73.91209,Private room,65,4,18,0.3,1,0
2078,Manhattan,40.81378,-73.95353,Private room,55,14,17,0.23,1,41
14697,Manhattan,40.75573,-73.99228000000001,Entire home/apt,175,1,57,1.41,1,273
13813,Brooklyn,40.71156,-73.96343,Entire home/apt,319,3,75,1.84,1,112
42147,Manhattan,40.82335,-73.94901999999999,Private room,125,1,2,2.0,1,139
8859,Manhattan,40.86623,-73.91993000000001,Private room,50,1,1,0.02,1,0
30476,Queens,40.76044,-73.92955,Entire home/apt,200,1,54,3.38,2,338
14101,Brooklyn,40.70807,-73.92113,Private room,122,2,11,0.82,2,0
5449,Brooklyn,40.670809999999996,-73.95761,Private room,96,3,1,0.02,1,0
3170,Brooklyn,40.68166,-73.94325,Entire home/apt,149,2,20,0.31,1,355
43016,Manhattan,40.705690000000004,-74.00403,Private room,169,7,1,0.53,13,365
28055,Manhattan,40.76191,-73.94934,Private room,45,25,37,1.89,1,149
17435,Brooklyn,40.69751,-73.98454,Entire home/apt,121,5,4,0.12,1,0
8295,Queens,40.744440000000004,-73.92451,Entire home/apt,100,1,72,1.46,1,0
33010,Manhattan,40.822520000000004,-73.94858,Private room,125,1,63,5.34,2,293
46603,Brooklyn,40.67816,-73.92368,Private room,60,1,4,4.0,2,173
27750,Manhattan,40.82738,-73.94559,Private room,50,3,1,0.05,1,0
22254,Queens,40.74443,-73.94298,Entire home/apt,225,1,6,0.22,1,358
27252,Manhattan,40.73625,-73.98597,Entire home/apt,140,2,20,0.99,1,29
27878,Manhattan,40.76793,-73.98583,Private room,150,1,1,0.05,1,0
29259,Manhattan,40.804140000000004,-73.96498000000001,Entire home/apt,145,1,23,1.37,1,3
3418,Brooklyn,40.65398,-73.96139000000001,Private room,57,2,199,2.98,1,265
8591,Queens,40.7724,-73.90474,Entire home/apt,180,1,145,3.55,1,33
20545,Brooklyn,40.68314,-73.93124,Entire home/apt,325,2,67,2.27,3,250
19844,Brooklyn,40.72311,-73.9411,Private room,89,1,86,2.7,1,173
9762,Brooklyn,40.70512,-73.92187,Private room,65,3,3,0.06,1,0
35679,Brooklyn,40.68235,-73.90602,Private room,47,2,30,3.63,2,303
27882,Manhattan,40.71025,-74.00756,Private room,45,7,3,0.15,1,0
27886,Brooklyn,40.69834,-73.93436,Private room,50,14,1,0.05,1,0
11600,Manhattan,40.72314,-73.97929,Entire home/apt,200,5,10,0.26,1,0
28862,Manhattan,40.77383,-73.94903000000001,Entire home/apt,150,60,5,0.31,13,155
18881,Manhattan,40.7363,-73.98338000000001,Entire home/apt,250,1,3,0.15,1,312
39641,Manhattan,40.74248,-73.98434,Entire home/apt,160,30,1,0.16,2,0
31468,Manhattan,40.79591,-73.96204,Private room,90,2,9,0.62,3,181
333,Manhattan,40.72399,-73.98374,Entire home/apt,169,4,240,2.4,1,276
35654,Queens,40.75176,-73.88374,Private room,55,4,23,2.28,4,112
18767,Queens,40.7459,-73.83298,Private room,50,1,54,1.56,8,78
15190,Bronx,40.81928,-73.90933000000001,Private room,60,2,47,1.22,4,249
41049,Brooklyn,40.70333,-73.94913000000001,Private room,85,2,16,3.27,1,11
7529,Manhattan,40.71286,-73.98849,Shared room,80,2,12,0.24,2,89
45359,Queens,40.76364,-73.82292,Private room,59,1,9,4.82,6,362
23210,Manhattan,40.73193,-73.99931,Entire home/apt,299,2,28,1.15,1,64
43487,Brooklyn,40.70762,-73.95,Entire home/apt,225,3,1,1.0,1,0
21897,Brooklyn,40.693690000000004,-73.92291999999999,Private room,59,5,26,0.93,4,325
2246,Brooklyn,40.67046,-73.94835,Private room,50,3,2,0.08,1,0
14584,Brooklyn,40.68962,-73.95169,Private room,79,1,16,0.41,1,0
35440,Manhattan,40.79103,-73.97632,Private room,79,1,59,5.75,1,61
40519,Manhattan,40.829640000000005,-73.94270999999999,Entire home/apt,80,2,2,0.37,1,189
40041,Brooklyn,40.690329999999996,-73.94848,Entire home/apt,90,5,1,0.18,1,1
13364,Manhattan,40.77845,-73.97985,Entire home/apt,175,2,1,0.02,1,0
19512,Brooklyn,40.6393,-73.9472,Entire home/apt,90,3,53,1.61,1,201
33630,Brooklyn,40.6533,-73.95534,Entire home/apt,65,2,1,0.08,1,0
30649,Manhattan,40.70805,-74.00581,Entire home/apt,205,29,2,0.14,96,10
32564,Brooklyn,40.702940000000005,-73.93313,Private room,45,2,16,1.22,1,0
22984,Manhattan,40.78546,-73.94117,Private room,70,3,8,0.31,4,0
40381,Brooklyn,40.71285,-73.95558,Private room,45,3,1,0.18,1,0
14583,Brooklyn,40.66397,-73.98538,Private room,125,1,7,0.17,2,0
32488,Manhattan,40.76488,-73.98832,Shared room,65,1,44,3.27,8,199
19618,Brooklyn,40.68012,-73.93862,Private room,89,2,2,0.07,1,0
21217,Manhattan,40.784290000000006,-73.94878,Entire home/apt,200,5,48,1.73,2,71
4108,Brooklyn,40.71498,-73.96104,Entire home/apt,152,1,334,5.2,1,269
34323,Brooklyn,40.68635,-73.94821,Private room,55,2,18,1.6,4,359
5388,Brooklyn,40.72829,-73.95354,Private room,50,7,1,0.02,1,0
15030,Brooklyn,40.67729,-73.87996,Entire home/apt,70,5,37,1.48,1,263
21723,Brooklyn,40.678090000000005,-73.9128,Private room,60,2,32,1.15,1,0
45738,Manhattan,40.76113,-73.99504,Entire home/apt,200,3,1,1.0,1,0
20191,Brooklyn,40.66041,-73.91561999999999,Entire home/apt,129,2,73,2.34,1,82
14938,Manhattan,40.72804,-73.98281,Entire home/apt,140,1,1,0.02,1,0
26143,Manhattan,40.81643,-73.94041999999999,Private room,65,3,84,3.8,1,205
3869,Brooklyn,40.66468,-73.98777,Private room,59,1,126,2.15,4,22
21335,Manhattan,40.777429999999995,-73.94977,Entire home/apt,140,31,4,0.23,33,338
3852,Brooklyn,40.67026,-73.92586999999999,Entire home/apt,80,2,17,0.39,1,0
32146,Brooklyn,40.68423,-73.94125,Entire home/apt,75,3,3,0.22,1,0
