,Bronx,latitude,longitude,room_type,price,minimum_nights,reviews_per_month,availability_365
25746,Manhattan,40.74116,-73.86705,Shared room,25,2,3.45,344
26002,Manhattan,40.66738,-73.93669,Shared room,25,2,0.71,167
26619,Queens,40.67981,-73.91022,Shared room,25,7,0,88
26795,Queens,40.74262,-73.86674,Shared room,25,1,6,351
26796,Queens,40.57607,-73.9833,Shared room,25,5,0.75,129
27523,Queens,40.58941,-73.97116,Shared room,25,7,0,321
27524,Queens,40.59087,-73.97275,Shared room,25,7,0.67,313
27525,Queens,40.58972,-73.97172,Shared room,25,7,0,343
28054,Queens,40.74132,-73.86683,Shared room,25,2,1,346
28058,Queens,40.74119,-73.86748,Shared room,25,1,2,351
28184,Queens,40.70513,-73.91576,Shared room,25,4,0,340
28188,Queens,40.70508,-73.91577,Shared room,25,4,0,346
28708,Queens,40.65175,-73.96208,Shared room,25,10,1,299
28709,Queens,40.65022,-73.96281,Shared room,25,4,1,334
28710,Queens,40.64946,-73.96041,Shared room,25,10,0,341
29098,Queens,40.60724,-73.95219,Private room,25,1,0,178
29917,Queens,40.75406,-73.80613,Shared room,25,1,1,86
6971,Brooklyn,40.75024,-73.87849,Shared room,26,1,0.68,365
7739,Brooklyn,40.8522,-73.91014,Private room,26,3,0.64,127
10938,Brooklyn,40.65024,-73.95051,Shared room,26,30,0.09,365
11977,Brooklyn,40.67541,-73.93253,Private room,26,7,0,59
12956,Manhattan,40.83805,-73.85867,Shared room,26,1,0.78,342
15241,Manhattan,40.87396,-73.87785,Private room,26,30,1.39,303
15966,Manhattan,40.88455,-73.86587,Shared room,26,1,0.67,312
17475,Manhattan,40.72605,-73.90711,Private room,26,3,0.16,118
18042,Manhattan,40.83791,-73.85845,Private room,26,1,1.24,311
19714,Manhattan,40.83739,-73.91118,Private room,26,1,2.07,3
19789,Manhattan,40.73888,-73.86618,Shared room,26,2,2.58,352
19870,Manhattan,40.64036,-74.00822,Private room,26,1,1.36,141
21403,Manhattan,40.67752,-73.90886,Private room,26,30,0,250
24001,Manhattan,40.74467,-73.8726,Private room,26,30,0,233
24092,Manhattan,40.67652,-73.94016,Shared room,26,15,0.59,23
24093,Manhattan,40.67692,-73.94038,Shared room,26,20,0.75,49
25741,Manhattan,40.76,-73.82466,Shared room,26,2,1.65,90
4566,Brooklyn,40.65777,-73.92263,Private room,27,30,0.18,345
6419,Brooklyn,40.64509,-73.94825,Shared room,27,30,0.16,342
8777,Brooklyn,40.74736,-73.85587,Shared room,27,2,0.35,361
9286,Brooklyn,40.74889,-73.86489,Shared room,27,1,0.71,364
9482,Brooklyn,40.74864,-73.85436,Shared room,27,2,0.48,365
10928,Brooklyn,40.64136,-73.94705,Shared room,27,30,0,365
11687,Brooklyn,40.67038,-73.93214,Private room,27,2,2.99,84
12367,Brooklyn,40.7061,-73.9115,Shared room,27,30,0.18,6
12881,Brooklyn,40.6844,-73.93138,Private room,27,1,2.88,112
14731,Manhattan,40.63108,-74.12512,Private room,27,1,1.14,287
21417,Manhattan,40.8444,-73.93654,Private room,27,29,0.13,124
22022,Manhattan,40.71285,-73.96124,Private room,27,20,0.42,333
22853,Manhattan,40.67862,-73.91233,Shared room,27,1,0.63,89
24505,Manhattan,40.86428,-73.92199,Private room,27,29,0.77,32
26325,Queens,40.75023,-73.87772,Shared room,27,1,2.73,355
26381,Queens,40.85595,-73.88519,Private room,27,30,0,68
26528,Queens,40.82654,-73.90516,Private room,27,2,3.5,60
6095,Brooklyn,40.82939,-73.86514,Private room,28,2,2.12,108
10157,Brooklyn,40.69382,-73.90925,Shared room,28,1,4.56,118
10558,Brooklyn,40.69533,-73.90889,Shared room,28,1,4.02,133
10904,Brooklyn,40.64513,-73.9488,Shared room,28,30,0.13,365
10927,Brooklyn,40.64476,-73.96473,Shared room,28,30,0,365
11112,Brooklyn,40.63992,-74.0076,Private room,28,1,1.08,1
13838,Manhattan,40.83408,-73.87419,Private room,28,3,1.32,214
14375,Manhattan,40.69168,-73.9132,Shared room,28,30,0.25,281
16184,Manhattan,40.65882,-73.7332,Private room,28,1,2.25,43
19513,Manhattan,40.8102,-73.93147,Shared room,28,1,1.93,60
19523,Manhattan,40.84184,-73.84967,Private room,28,1,2.65,123
19555,Manhattan,40.80952,-73.93005,Shared room,28,1,1.79,83
19557,Manhattan,40.80994,-73.93061,Shared room,28,1,3.09,89
22464,Manhattan,40.73489,-73.88048,Private room,28,30,0,63
23041,Manhattan,40.8094,-73.93173,Shared room,28,1,2.77,319
23172,Manhattan,40.73998,-73.86802,Private room,28,1,3.03,236
24061,Manhattan,40.74503,-73.87099,Private room,28,30,0,1
24556,Manhattan,40.67668,-73.91243,Shared room,28,1,1.5,89
24567,Manhattan,40.71474,-73.89931,Private room,28,1,6.49,14
25925,Manhattan,40.69541,-73.90785,Shared room,28,1,3.2,41
25930,Manhattan,40.69606,-73.9095,Shared room,28,1,1.71,53
26248,Queens,40.64979,-73.93299,Private room,28,1,5.49,49
26268,Queens,40.75078,-73.87949,Shared room,28,1,2.11,354
26859,Queens,40.80816,-73.93176,Shared room,28,1,2.07,64
26865,Queens,40.80856,-73.93055,Shared room,28,1,2.03,71
27334,Queens,40.80852,-73.9306,Shared room,28,1,2.94,60
27338,Queens,40.80869,-73.9317,Shared room,28,1,0.67,73
27344,Queens,40.80996,-73.93172,Shared room,28,1,1.15,365
27346,Queens,40.80838,-73.93091,Shared room,28,1,1.7,363
27414,Queens,40.80868,-73.93015,Shared room,28,1,2.65,362
27434,Queens,40.80858,-73.93164,Shared room,28,1,6.82,351
27809,Queens,40.74206,-73.86628,Shared room,28,1,0,357
28121,Queens,40.80828,-73.9319,Shared room,28,1,2,88
28320,Queens,40.68833,-73.95055,Private room,28,30,0,54
28707,Queens,40.74908,-73.87961,Shared room,28,1,0,341
2002,Brooklyn,40.63899,-73.95177,Shared room,29,2,0.07,321
2267,Brooklyn,40.68968,-73.85219,Private room,29,2,5.53,50
5479,Brooklyn,40.68828,-73.92989,Shared room,29,2,2.11,288
6140,Brooklyn,40.6924,-73.96042,Shared room,29,8,0.89,53
6842,Brooklyn,40.81602,-73.94316,Private room,29,28,1,16
7462,Brooklyn,40.86761,-73.92718,Shared room,29,1,2.28,90
8981,Brooklyn,40.67424,-73.88136,Private room,29,30,0.38,193
9233,Brooklyn,40.69981,-73.94111,Private room,29,1,1.78,18
9923,Brooklyn,40.66469,-73.95125,Private room,29,5,0.1,206
10406,Brooklyn,40.67368,-73.92165,Private room,29,2,3.07,145
10530,Brooklyn,40.68865,-73.93684,Private room,29,1,4.43,2
11737,Brooklyn,40.70457,-73.91603,Private room,29,2,1.49,319
12260,Brooklyn,40.6951,-73.92983,Shared room,29,1,4.99,73
12688,Brooklyn,40.68244,-73.89489,Private room,29,1,2.1,16
12987,Manhattan,40.85145,-73.86129,Private room,29,1,2.65,137
13654,Manhattan,40.64579,-74.08027,Private room,29,4,2.81,178
14007,Manhattan,40.69731,-73.90824,Shared room,29,30,0.1,324
14055,Manhattan,40.85579,-73.88512,Private room,29,3,0.43,322
14097,Manhattan,40.85456,-73.88521,Private room,29,4,0.25,360
14799,Manhattan,40.67473,-73.91424,Shared room,29,2,0.22,1
14858,Manhattan,40.76824,-73.91135,Private room,29,5,0.59,156
15115,Manhattan,40.69208,-73.90452,Shared room,29,30,0.14,334
15596,Manhattan,40.8987,-73.86389,Private room,29,1,4.93,192
15669,Manhattan,40.68082,-73.92162,Private room,29,1,3.88,5
19299,Manhattan,40.67286,-73.79666,Shared room,29,5,0.1,365
19990,Manhattan,40.63867,-74.00681,Private room,29,1,1.37,66
20056,Manhattan,40.74035,-73.87617,Private room,29,29,1,6
20754,Manhattan,40.6626,-73.87731,Private room,29,1,7.25,54
20793,Manhattan,40.73753,-73.92233,Shared room,29,5,0.27,23
21715,Manhattan,40.73872,-73.82863,Private room,29,1,7.14,168
22102,Manhattan,40.75938,-73.88158,Private room,29,1,0.86,35
22185,Manhattan,40.57863,-73.98455,Shared room,29,18,0.21,221
22375,Manhattan,40.73756,-73.92329,Private room,29,30,0,241
22489,Manhattan,40.65872,-73.90951,Private room,29,4,0.94,66
23348,Manhattan,40.61245,-73.99684,Private room,29,15,1.2,244
24176,Manhattan,40.8647,-73.92353,Private room,29,30,0,1
24344,Manhattan,40.67981,-73.90606,Private room,29,3,1.74,18
25570,Manhattan,40.597,-74.08778,Shared room,29,1,0,2
26527,Queens,40.57801,-74.10869,Private room,29,21,0,281
26841,Queens,40.8439,-73.78792,Private room,29,1,1.43,18
28055,Queens,40.74255,-73.86659,Shared room,29,1,1,343
30196,Queens,40.86264,-73.89139,Private room,29,2,0,81
1429,Brooklyn,40.84058,-73.91382,Private room,30,2,3.69,208
1509,Brooklyn,40.687,-73.93446,Shared room,30,5,1.18,248
2502,Brooklyn,40.6283,-74.01608,Private room,30,1,0.99,150
2653,Brooklyn,40.72672,-73.98851,Shared room,30,30,1.88,304
2740,Brooklyn,40.64307,-73.95455,Shared room,30,5,0.52,288
3781,Brooklyn,40.63995,-73.96196,Shared room,30,1,1.39,319
3852,Brooklyn,40.68676,-73.95801,Shared room,30,2,0.37,339
4778,Brooklyn,40.64455,-73.98298,Private room,30,21,0.02,1
5013,Brooklyn,40.68549,-73.93532,Private room,30,1,3.21,134
5014,Brooklyn,40.68517,-73.9369,Private room,30,1,3.34,165
5206,Brooklyn,40.68517,-73.93473,Private room,30,1,2.18,345
7178,Brooklyn,40.8379,-73.94095,Private room,30,3,3.19,3
7312,Brooklyn,40.64681,-73.95901,Shared room,30,3,0.14,189
8135,Brooklyn,40.7555,-73.82712,Private room,30,4,1.39,64
8770,Brooklyn,40.66337,-73.92576,Private room,30,3,0.54,27
9288,Brooklyn,40.61819,-74.03047,Private room,30,3,0.66,211
9301,Brooklyn,40.69242,-73.95967,Shared room,30,25,0.43,78
9403,Brooklyn,40.73259,-73.88083,Private room,30,1,0,15
9547,Brooklyn,40.86932,-73.90057,Private room,30,2,1.68,38
9918,Brooklyn,40.73707,-73.92082,Shared room,30,7,0.43,206
10402,Brooklyn,40.74658,-73.87358,Private room,30,1,3.36,142
10476,Brooklyn,40.75465,-73.77361,Private room,30,15,0.99,142
10543,Brooklyn,40.6995,-73.93334,Private room,30,2,1.95,26
10604,Brooklyn,40.75377,-73.7726,Private room,30,15,0.7,145
10665,Brooklyn,40.63899,-73.94886,Shared room,30,30,0.15,365
10794,Brooklyn,40.68554,-73.94478,Private room,30,1,0.45,268
10880,Brooklyn,40.67692,-73.91541,Private room,30,3,0.53,57
10913,Brooklyn,40.6821,-73.90856,Private room,30,2,1.87,179
10998,Brooklyn,40.72804,-73.86147,Private room,30,1,2.53,358
11022,Brooklyn,40.72727,-73.86223,Private room,30,1,2.01,89
11088,Brooklyn,40.7265,-73.86017,Private room,30,1,4.1,112
11113,Brooklyn,40.63929,-74.00669,Private room,30,1,1.64,168
11221,Brooklyn,40.72749,-73.86035,Private room,30,1,2.17,361
11266,Brooklyn,40.63356,-73.95073,Shared room,30,3,1.25,1
11965,Brooklyn,40.68555,-73.79416,Private room,30,1,0.67,90
12313,Brooklyn,40.70375,-73.90342,Shared room,30,30,0.05,365
12317,Brooklyn,40.7033,-73.90812,Shared room,30,30,0.08,365
13474,Manhattan,40.61802,-73.92866,Private room,30,2,0.59,292
13675,Manhattan,40.69814,-73.93033,Private room,30,14,0.11,180
13734,Manhattan,40.62938,-74.02976,Private room,30,3,0,27
13738,Manhattan,40.85014,-73.93743,Private room,30,1,3.07,72
13775,Manhattan,40.85444,-73.88462,Private room,30,3,0.23,361
13778,Manhattan,40.65604,-73.88426,Private room,30,1,0,174
14334,Manhattan,40.63333,-74.08389,Private room,30,3,0.7,176
14376,Manhattan,40.6951,-73.91157,Shared room,30,30,0.25,365
14377,Manhattan,40.69641,-73.90895,Shared room,30,30,0.11,325
14475,Manhattan,40.66114,-73.88889,Private room,30,3,1.43,90
14680,Manhattan,40.74361,-73.87732,Private room,30,1,0.77,249
14999,Manhattan,40.86674,-73.89284,Private room,30,2,0.11,90
15258,Manhattan,40.58195,-73.95789,Private room,30,1,3.97,193
15263,Manhattan,40.80253,-73.96315,Private room,30,1,0.33,9
15424,Manhattan,40.70283,-73.93788,Private room,30,3,1.85,36
15675,Manhattan,40.70991,-73.91832,Private room,30,3,0.84,65
15719,Manhattan,40.73307,-73.91995,Shared room,30,1,3.02,140
15724,Manhattan,40.73272,-73.91826,Shared room,30,1,2.29,140
15725,Manhattan,40.73291,-73.9196,Shared room,30,1,2.48,145
15830,Manhattan,40.69987,-73.88952,Private room,30,2,3.54,254
16086,Manhattan,40.79368,-73.96373,Private room,30,1,6.03,94
16115,Manhattan,40.68829,-73.93184,Shared room,30,1,6.31,67
16783,Manhattan,40.71007,-73.81483,Private room,30,1,1.67,6
17787,Manhattan,40.73156,-73.8523,Private room,30,1,0.11,363
17859,Manhattan,40.74753,-73.93918,Shared room,30,1,4.74,5
17913,Manhattan,40.59691,-74.087,Private room,30,4,2.14,359
17914,Manhattan,40.60531,-74.08893,Private room,30,4,1.3,334
17916,Manhattan,40.60697,-74.08765,Private room,30,4,0.99,337
17971,Manhattan,40.69505,-73.92968,Private room,30,10,0.35,13
18099,Manhattan,40.69099,-73.94094,Shared room,30,2,2.66,85
18362,Manhattan,40.69052,-73.94149,Shared room,30,1,2.74,83
18363,Manhattan,40.69206,-73.94072,Shared room,30,1,3.99,84
18658,Manhattan,40.73717,-73.80847,Private room,30,1,1.46,153
18816,Manhattan,40.74233,-73.9125,Shared room,30,1,2.78,157
19120,Manhattan,40.6888,-73.92015,Private room,30,1,3.6,93
19245,Manhattan,40.67172,-73.79669,Shared room,30,4,0.41,365
19348,Manhattan,40.67812,-73.9168,Private room,30,3,0.68,2
19419,Manhattan,40.67181,-73.79622,Shared room,30,4,0,365
19674,Manhattan,40.64314,-73.99221,Shared room,30,5,1,365
19979,Manhattan,40.66197,-73.86794,Private room,30,2,0.46,158
20080,Manhattan,40.66151,-73.9455,Shared room,30,2,0.55,365
20084,Manhattan,40.66076,-73.94547,Shared room,30,2,0.55,352
20513,Manhattan,40.67293,-73.79554,Shared room,30,4,0.45,365
21071,Manhattan,40.67759,-73.9106,Private room,30,7,0.26,250
21090,Manhattan,40.73887,-73.86562,Shared room,30,2,0.76,365
21165,Manhattan,40.74824,-73.89961,Private room,30,29,0.3,1
21991,Manhattan,40.82631,-73.95201,Private room,30,1,1.41,8
22004,Manhattan,40.69218,-73.9439,Shared room,30,2,1.92,224
22066,Manhattan,40.694,-73.94355,Shared room,30,2,2.57,192
22540,Manhattan,40.67683,-73.94702,Private room,30,5,0.32,220
22576,Manhattan,40.69358,-73.93854,Private room,30,16,0,40
22841,Manhattan,40.668,-73.78477,Private room,30,1,15.23,189
22900,Manhattan,40.70541,-73.75037,Private room,30,2,1.1,6
22924,Manhattan,40.5776,-73.96231,Shared room,30,1,1,364
22965,Manhattan,40.77096,-73.95512,Shared room,30,1,3.67,13
23168,Manhattan,40.8461,-73.90883,Private room,30,2,3.28,176
23514,Manhattan,40.65719,-73.95421,Private room,30,4,0.81,6
23690,Manhattan,40.70132,-73.75463,Entire home/apt,30,2,2.32,230
23822,Manhattan,40.57974,-74.10989,Private room,30,7,1,188
24049,Manhattan,40.75204,-73.9226,Private room,30,3,3.41,77
24198,Manhattan,40.69501,-73.91125,Shared room,30,1,2.34,157
24515,Manhattan,40.69348,-73.94757,Shared room,30,18,1.89,27
24698,Manhattan,40.76449,-73.91996,Shared room,30,1,4.12,320
24759,Manhattan,40.74642,-73.88044,Private room,30,1,4.84,135
25619,Manhattan,40.70579,-73.81001,Shared room,30,1,4.05,361
26428,Queens,40.70666,-73.90779,Private room,30,21,0,73
26495,Queens,40.77419,-73.91113,Private room,30,2,2.31,11
27260,Queens,40.6431,-73.99175,Shared room,30,5,0,365
27263,Queens,40.67332,-73.79682,Shared room,30,5,1,365
27819,Queens,40.60753,-73.95389,Shared room,30,2,1.43,28
27971,Queens,40.60625,-74.089,Shared room,30,4,0.77,68
28033,Queens,40.64899,-74.0125,Shared room,30,1,4,342
28325,Queens,40.64184,-73.99102,Private room,30,30,0,251
28388,Queens,40.64212,-73.99361,Shared room,30,5,2,333
28537,Queens,40.67585,-73.91808,Private room,30,1,0.88,34
28554,Queens,40.75009,-73.87799,Shared room,30,1,3,350
28619,Queens,40.64635,-73.95474,Shared room,30,3,3,46
29150,Queens,40.74083,-73.92821,Shared room,30,3,0,360
29155,Queens,40.73996,-73.92829,Shared room,30,3,2,354
29158,Queens,40.74064,-73.92871,Shared room,30,3,0,351
29163,Queens,40.74088,-73.92726,Shared room,30,3,1,358
29167,Queens,40.739,-73.92796,Shared room,30,3,0,360
29176,Queens,40.73883,-73.92698,Shared room,30,3,2,327
29206,Queens,40.73864,-73.92728,Shared room,30,3,2,361
29216,Queens,40.73913,-73.92692,Shared room,30,3,0,359
29221,Queens,40.73997,-73.92655,Shared room,30,3,1,345
29222,Queens,40.74033,-73.92646,Shared room,30,3,2,350
29531,Queens,40.67244,-73.92267,Private room,30,7,0,44
29534,Queens,40.67305,-73.92279,Private room,30,7,0,44
29614,Queens,40.81908,-73.95718,Shared room,30,7,0,83
29623,Queens,40.69427,-73.91995,Private room,30,3,0,100
30104,Queens,40.6011,-74.0783,Shared room,30,2,0,82
30118,Queens,40.64283,-73.99416,Shared room,30,1,0,365
30265,Queens,40.65012,-74.00867,Private room,30,7,0,190
2162,Brooklyn,40.68708,-73.95126,Private room,31,6,0.58,55
2844,Brooklyn,40.63081,-73.99638,Private room,31,1,0.97,158
10586,Brooklyn,40.70279,-73.9289,Private room,31,7,0.06,89
11244,Brooklyn,40.69406,-73.90068,Private room,31,5,2.7,13
11670,Brooklyn,40.80026,-73.9546,Shared room,31,1,2.44,89
12088,Brooklyn,40.65068,-73.96073,Private room,31,1,3.28,37
14706,Manhattan,40.67163,-73.93399,Private room,31,30,0.36,302
15573,Manhattan,40.74252,-73.8899,Private room,31,3,1.27,111
15765,Manhattan,40.63779,-74.12274,Private room,31,7,0.19,357
18708,Manhattan,40.68033,-73.91023,Private room,31,30,0.1,62
19068,Manhattan,40.69089,-73.93912,Shared room,31,1,3.08,85
19246,Manhattan,40.6726,-73.79566,Shared room,31,5,0.11,365
19905,Manhattan,40.64214,-73.99237,Shared room,31,5,0.78,365
20024,Manhattan,40.73661,-73.90021,Private room,31,2,0.65,259
20712,Manhattan,40.67959,-73.89209,Private room,31,1,1.72,210
20852,Manhattan,40.75023,-73.87896,Private room,31,30,0.62,269
22155,Manhattan,40.85127,-73.92985,Private room,31,1,4.57,111
23500,Manhattan,40.64434,-73.9504,Shared room,31,30,0,365
23713,Manhattan,40.65441,-73.95024,Private room,31,1,5,5
25818,Manhattan,40.68557,-73.97288,Shared room,31,1,1.62,73
28754,Queens,40.65681,-73.87854,Private room,31,1,0,105
29076,Queens,40.6922,-73.90563,Shared room,31,30,0,333
2363,Brooklyn,40.64674,-73.89501,Private room,32,5,1.25,155
2499,Brooklyn,40.64532,-74.02063,Private room,32,1,1.7,208
2733,Brooklyn,40.88437,-73.89746,Shared room,32,2,0.16,83
3039,Brooklyn,40.6769,-73.94483,Private room,32,7,0.07,319
7595,Brooklyn,40.83463,-73.94,Shared room,32,1,0.83,332
7798,Brooklyn,40.71171,-73.98871,Shared room,32,14,0,341
8918,Brooklyn,40.69018,-73.82141,Private room,32,2,0.32,342
9064,Brooklyn,40.77009,-73.87708,Private room,32,1,11.4,161
10365,Brooklyn,40.59704,-74.08716,Private room,32,4,1.2,342
10368,Brooklyn,40.59719,-74.08754,Private room,32,4,0.87,312
